Index,Type,Weight,Price,
1,Shrimp,1.331,1.220,
2,Fish,14.267,2.405,
3,Crab,3.665,3.050,
4,Fish,12.267,2.405,
6,Crab,2.170,3.050,
7,Crab,4.601,3.050,
9,Fish,1.406,2.405,
10,Shrimp,3.404,1.220,
11,Crab,5.072,3.050,
12,Crab,4.674,3.050,
13,Shrimp,4.699,1.220,
14,Crab,9.907,3.050,
15,Crab,7.531,3.050,
16,Crab,2.716,3.050,
17,Shrimp,2.776,1.220,
18,Shrimp,2.686,1.220,
19,Crab,4.476,3.050,
20,Crab,0.945,3.050,
22,Shrimp,4.851,1.220,
23,Shrimp,2.982,1.220,
25,Fish,8.994,2.405,
26,Crab,7.544,3.050,
27,Crab,0.471,3.050,
28,Crab,9.676,3.050,
29,Shrimp,3.090,1.220,
31,Fish,0.088,2.405,
32,Crab,2.626,3.050,
33,Shrimp,0.960,1.220,
34,Shrimp,4.671,1.220,
35,Fish,8.627,2.405,
38,Fish,8.607,2.405,
39,Shrimp,0.527,1.220,
40,Shrimp,3.572,1.220,
42,Shrimp,4.981,1.220,
43,Fish,6.635,2.405,
45,Fish,0.289,2.405,
46,Crab,0.135,3.050,
48,Fish,8.003,2.405,
49,Fish,9.298,2.405,
50,Crab,5.849,3.050,
51,Crab,3.053,3.050,
52,Crab,4.924,3.050,
55,Shrimp,2.964,1.220,
56,Fish,2.634,2.405,
58,Fish,4.896,2.405,
62,Crab,3.835,3.050,
66,Fish,5.096,2.405,
67,Crab,1.470,3.050,
68,Fish,9.322,2.405,
70,Shrimp,0.664,1.220,
73,Shrimp,1.051,1.220,
74,Fish,10.775,2.405,
75,Crab,3.905,3.050,
76,Fish,6.697,2.405,
78,Fish,9.420,2.405,
79,Crab,3.669,3.050,
80,Crab,6.167,3.050,
81,Shrimp,1.611,1.220,
82,Fish,5.724,2.405,
83,Shrimp,2.276,1.220,
84,Crab,0.537,3.050,
85,Crab,5.748,3.050,
86,Fish,13.243,2.405,
87,Fish,11.115,2.405,
88,Fish,3.656,2.405,
89,Fish,14.954,2.405,
90,Crab,4.686,3.050,
91,Shrimp,2.561,1.220,
92,Fish,5.743,2.405,
93,Crab,8.617,3.050,
94,Fish,7.230,2.405,
95,Shrimp,0.317,1.220,
96,Fish,9.458,2.405,
97,Fish,10.423,2.405,
98,Crab,1.327,3.050,
99,Crab,6.442,3.050,
100,Crab,3.669,3.050,
102,Shrimp,3.768,1.220,
103,Crab,4.055,3.050,
104,Shrimp,2.329,1.220,
105,Shrimp,0.994,1.220,
107,Shrimp,0.855,1.220,
108,Shrimp,1.308,1.220,
109,Shrimp,3.374,1.220,
111,Fish,3.592,2.405,
112,Fish,0.006,2.405,
113,Fish,2.003,2.405,
115,Fish,13.981,2.405,
116,Fish,9.925,2.405,
118,Fish,2.097,2.405,
119,Fish,5.582,2.405,
120,Shrimp,0.833,1.220,
121,Crab,4.497,3.050,
125,Fish,8.072,2.405,
126,Shrimp,2.306,1.220,
130,Shrimp,2.897,1.220,
131,Fish,10.012,2.405,
132,Shrimp,3.076,1.220,
134,Fish,2.247,2.405,
136,Fish,6.707,2.405,
138,Crab,6.067,3.050,
139,Crab,5.500,3.050,
141,Fish,10.832,2.405,
142,Fish,14.933,2.405,
144,Crab,7.707,3.050,
146,Crab,8.830,3.050,
149,Fish,13.221,2.405,
150,Fish,10.818,2.405,
151,Shrimp,4.579,1.220,
152,Shrimp,4.221,1.220,
154,Shrimp,4.831,1.220,
155,Crab,6.720,3.050,
156,Shrimp,4.550,1.220,
157,Fish,2.801,2.405,
158,Crab,2.713,3.050,
159,Shrimp,0.391,1.220,
160,Fish,0.526,2.405,
162,Shrimp,0.202,1.220,
163,Fish,8.661,2.405,
164,Fish,0.380,2.405,
166,Fish,7.181,2.405,
168,Crab,3.008,3.050,
169,Shrimp,2.343,1.220,
170,Fish,6.739,2.405,
172,Crab,8.934,3.050,
173,Shrimp,1.740,1.220,
